dataset,frame_id,epsilon_strict,min_support_strict,inlier_ratio_strict,residual_strict,epsilon_standard,min_support_standard,inlier_ratio_standard,residual_standard,epsilon_loose,min_support_loose,inlier_ratio_loose,residual_loose,winner
Sewerage,000733_lcam_front_lidar.ply,0.10002,799,0.0074,0.14381,0.15001,500,0.00592,0.10855,0.25,200,0.01292,0.23409,loose
Sewerage,000734_lcam_front_lidar.ply,0.10002,799,0.00613,0.12157,0.15001,500,0.05476,0.09497,0.25,200,0.01793,0.24545,standard
Sewerage,000735_lcam_front_lidar.ply,0.10002,799,0.00604,0.12154,0.15001,500,0.01427,0.15569,0.25,200,0.01078,0.16697,standard
Sewerage,000736_lcam_front_lidar.ply,0.10002,799,0.00653,0.13566,0.15001,500,0.01077,0.12734,0.25,200,0.00688,0.07627,standard
Sewerage,000737_lcam_front_lidar.ply,0.10002,799,0.00618,0.13809,0.15001,500,0.00962,0.172,0.25,200,0.01493,0.23799,loose
Sewerage,000738_lcam_front_lidar.ply,0.10002,799,0.00727,0.1558,0.15001,500,0.0021,0.06757,0.25,200,0.00821,0.0925,loose
Sewerage,000739_lcam_front_lidar.ply,0.10002,799,0.00321,0.10403,0.15001,500,0.01203,0.18489,0.25,200,0.01514,0.24255,loose
Sewerage,000740_lcam_front_lidar.ply,0.10002,799,0.00559,0.05453,0.15001,500,0.0112,0.1048,0.25,200,0.01557,0.19762,loose
Sewerage,000741_lcam_front_lidar.ply,0.10002,799,0.00587,0.14609,0.15001,500,0.00915,0.17425,0.25,200,0.01531,0.26299,loose
Sewerage,000742_lcam_front_lidar.ply,0.10002,799,0.00668,0.14295,0.15001,500,0.01283,0.18096,0.25,200,0.01667,0.26891,loose
Sewerage,000743_lcam_front_lidar.ply,0.10002,799,0.00568,0.01235,0.15001,500,0.01359,0.18405,0.25,200,0.00743,0.06887,standard
Sewerage,000744_lcam_front_lidar.ply,0.10002,799,0.00434,0.04846,0.15001,500,0.02867,0.09362,0.25,200,0.00964,0.12926,standard
Sewerage,000745_lcam_front_lidar.ply,0.10002,799,0.00561,0.14973,0.15001,500,0.16023,0.16021,0.25,200,0.00637,0.07661,standard
Sewerage,000746_lcam_front_lidar.ply,0.10002,799,0.04721,0.05241,0.15001,500,0.0079,0.15018,0.25,200,0.01622,0.26185,strict
Sewerage,000747_lcam_front_lidar.ply,0.10002,799,0.04282,0.04454,0.15001,500,0.01398,0.07523,0.25,200,0.01728,0.26853,strict
Sewerage,000748_lcam_front_lidar.ply,0.10002,799,0.00847,0.06806,0.15001,500,0.00439,0.10046,0.25,200,0.01653,0.25944,loose
Sewerage,000749_lcam_front_lidar.ply,0.10002,799,0.00509,0.14099,0.15001,500,0.0041,0.0909,0.25,200,0.00649,0.11939,loose
Sewerage,000750_lcam_front_lidar.ply,0.10002,799,0.00253,0.10665,0.15001,500,0.01026,0.14874,0.25,200,0.00132,0.06494,standard
Sewerage,000751_lcam_front_lidar.ply,0.10002,799,0.00747,0.01651,0.15001,500,0.22128,0.18361,0.25,200,0.01745,0.26753,standard
Sewerage,000752_lcam_front_lidar.ply,0.10002,799,0.03889,0.09223,0.15001,500,0.01228,0.18704,0.25,200,0.00771,0.0553,strict
Sewerage,000753_lcam_front_lidar.ply,0.10002,799,0.07246,0.11621,0.15001,500,0.01292,0.22153,0.25,200,0.00144,0.0598,strict
Sewerage,000754_lcam_front_lidar.ply,0.10002,799,0.02587,0.08152,0.15001,500,0.01021,0.174,0.25,200,0.01668,0.26221,strict
Sewerage,000755_lcam_front_lidar.ply,0.10002,799,0.00502,0.11358,0.15001,500,0.26057,0.21212,0.25,200,0.0178,0.27469,standard
Sewerage,000756_lcam_front_lidar.ply,0.10002,799,0.00488,0.1434,0.15001,500,0.01007,0.15145,0.25,200,0.01795,0.27421,loose
Sewerage,000757_lcam_front_lidar.ply,0.10002,799,0.13899,0.12415,0.15001,500,0.23601,0.19741,0.25,200,0.00372,0.0509,standard
Sewerage,000758_lcam_front_lidar.ply,0.10002,799,0.00429,0.13774,0.15001,500,0.0062,0.17168,0.25,200,0.01156,0.20982,loose
Sewerage,000759_lcam_front_lidar.ply,0.10002,799,0.04056,0.10912,0.15001,500,0.2524,0.21291,0.25,200,0.02209,0.26974,standard
Sewerage,000760_lcam_front_lidar.ply,0.10002,799,0.00469,0.11849,0.15001,500,0.01483,0.1819,0.25,200,0.01951,0.28374,loose
Sewerage,000761_lcam_front_lidar.ply,0.10002,799,0.15977,0.14367,0.15001,500,0.00497,0.12905,0.25,200,0.00165,0.0405,strict
Sewerage,000762_lcam_front_lidar.ply,0.10002,799,0.00448,0.12865,0.15001,500,0.0104,0.12914,0.25,200,0.00524,0.24226,standard
Sewerage,000763_lcam_front_lidar.ply,0.10002,799,0.16551,0.14383,0.15001,500,0.01474,0.18037,0.25,200,0.00102,0.00053,strict
Sewerage,000764_lcam_front_lidar.ply,0.10002,799,0.16441,0.14297,0.15001,500,0.01502,0.18498,0.25,200,0.00186,0.0437,strict
Sewerage,000765_lcam_front_lidar.ply,0.10002,799,0.16477,0.14443,0.15001,500,0.00609,0.21272,0.25,200,0.00085,0.02146,strict
Sewerage,000766_lcam_front_lidar.ply,0.10002,799,0.16237,0.1432,0.15001,500,0.00455,0.07923,0.25,200,0.0025,0.10991,strict
Sewerage,000767_lcam_front_lidar.ply,0.10002,799,0.15374,0.13744,0.15001,500,0.01271,0.14465,0.25,200,0.02087,0.25807,strict
Sewerage,000768_lcam_front_lidar.ply,0.10002,799,0.00469,0.15336,0.15001,500,0.00906,0.20888,0.25,200,0.00054,0.00013,standard
Sewerage,000769_lcam_front_lidar.ply,0.10002,799,0.15612,0.1422,0.15001,500,0.22693,0.20979,0.25,200,0.02208,0.27599,standard
Sewerage,000770_lcam_front_lidar.ply,0.10002,799,0.15479,0.1428,0.15001,500,0.22323,0.20926,0.25,200,0.00118,0.01039,standard
