dataset,frame_id,epsilon_strict,min_support_strict,inlier_ratio_strict,residual_strict,epsilon_standard,min_support_standard,inlier_ratio_standard,residual_standard,epsilon_loose,min_support_loose,inlier_ratio_loose,residual_loose,winner
SeasonalForestWinterNight,000749_lcam_front_lidar.ply,0.10002,799,0.05571,0.1066,0.15001,500,0.07445,0.14952,0.25,200,0.00823,0.01839,standard
SeasonalForestWinterNight,000750_lcam_front_lidar.ply,0.10002,799,0.04948,0.0997,0.15001,500,0.07868,0.14414,0.25,200,0.00833,0.01836,standard
SeasonalForestWinterNight,000751_lcam_front_lidar.ply,0.10002,799,0.05738,0.114,0.15001,500,0.07634,0.14019,0.25,200,0.0084,0.01918,standard
SeasonalForestWinterNight,000752_lcam_front_lidar.ply,0.10002,799,0.1793,0.11513,0.15001,500,0.08275,0.15509,0.25,200,0.00863,0.01976,strict
SeasonalForestWinterNight,000753_lcam_front_lidar.ply,0.10002,799,0.17824,0.12001,0.15001,500,0.0788,0.15437,0.25,200,0.00889,0.01938,strict
SeasonalForestWinterNight,000754_lcam_front_lidar.ply,0.10002,799,0.05475,0.10964,0.15001,500,0.07474,0.14692,0.25,200,0.0088,0.01894,standard
SeasonalForestWinterNight,000755_lcam_front_lidar.ply,0.10002,799,0.11724,0.10404,0.15001,500,0.07345,0.13794,0.25,200,0.00907,0.01856,strict
SeasonalForestWinterNight,000756_lcam_front_lidar.ply,0.10002,799,0.05105,0.11657,0.15001,500,0.06739,0.15127,0.25,200,0.0091,0.01873,standard
SeasonalForestWinterNight,000757_lcam_front_lidar.ply,0.10002,799,0.1791,0.11748,0.15001,500,0.03396,0.14016,0.25,200,0.00908,0.01853,strict
SeasonalForestWinterNight,000758_lcam_front_lidar.ply,0.10002,799,0.16783,0.12656,0.15001,500,0.07539,0.15079,0.25,200,0.00914,0.01934,strict
SeasonalForestWinterNight,000759_lcam_front_lidar.ply,0.10002,799,0.17522,0.12489,0.15001,500,0.02906,0.13307,0.25,200,0.00921,0.02029,strict
SeasonalForestWinterNight,000760_lcam_front_lidar.ply,0.10002,799,0.0823,0.10921,0.15001,500,0.06329,0.14916,0.25,200,0.00907,0.0211,strict
SeasonalForestWinterNight,000761_lcam_front_lidar.ply,0.10002,799,0.1239,0.11358,0.15001,500,0.00283,0.00094,0.25,200,0.00909,0.02233,strict
SeasonalForestWinterNight,000762_lcam_front_lidar.ply,0.10002,799,0.08919,0.11312,0.15001,500,0.0623,0.1542,0.25,200,0.00965,0.02359,strict
SeasonalForestWinterNight,000763_lcam_front_lidar.ply,0.10002,799,0.16408,0.12039,0.15001,500,0.06661,0.15141,0.25,200,0.00939,0.02339,strict
SeasonalForestWinterNight,000764_lcam_front_lidar.ply,0.10002,799,0.08173,0.09861,0.15001,500,0.02566,0.12387,0.25,200,0.00976,0.0282,strict
SeasonalForestWinterNight,000765_lcam_front_lidar.ply,0.10002,799,0.13938,0.11386,0.15001,500,0.05981,0.16876,0.25,200,0.00906,0.03279,strict
SeasonalForestWinterNight,000766_lcam_front_lidar.ply,0.10002,799,0.06115,0.12292,0.15001,500,0.06303,0.15016,0.25,200,0.00922,0.03322,standard
SeasonalForestWinterNight,000767_lcam_front_lidar.ply,0.10002,799,0.0978,0.12108,0.15001,500,0.03974,0.18625,0.25,200,0.00925,0.03299,strict
SeasonalForestWinterNight,000768_lcam_front_lidar.ply,0.10002,799,0.10482,0.12204,0.15001,500,0.05672,0.14724,0.25,200,0.0094,0.03477,strict
SeasonalForestWinterNight,000769_lcam_front_lidar.ply,0.10002,799,0.07444,0.12198,0.15001,500,0.056,0.15371,0.25,200,0.00941,0.03461,strict
SeasonalForestWinterNight,000770_lcam_front_lidar.ply,0.10002,799,0.10329,0.12268,0.15001,500,0.05257,0.18006,0.25,200,0.02913,0.1487,strict
SeasonalForestWinterNight,000771_lcam_front_lidar.ply,0.10002,799,0.10012,0.10677,0.15001,500,0.05417,0.15262,0.25,200,0.00958,0.03551,strict
