dataset,frame_id,epsilon_strict,min_support_strict,inlier_ratio_strict,residual_strict,epsilon_standard,min_support_standard,inlier_ratio_standard,residual_standard,epsilon_loose,min_support_loose,inlier_ratio_loose,residual_loose,winner
Supermarket,000064_lcam_front_lidar.ply,0.10002,799,0.03509,0.13462,0.15001,500,0.01091,0.06981,0.25,200,0.02399,0.05589,strict
Supermarket,000065_lcam_front_lidar.ply,0.10002,799,0.00762,0.11514,0.15001,500,0.01211,0.0189,0.25,200,0.00276,0.00389,standard
Supermarket,000066_lcam_front_lidar.ply,0.10002,799,0.07911,0.09101,0.15001,500,0.00984,0.06063,0.25,200,0.02691,0.12417,strict
Supermarket,000067_lcam_front_lidar.ply,0.10002,799,0.08455,0.08168,0.15001,500,0.00981,0.00306,0.25,200,0.0068,0.00386,strict
Supermarket,000068_lcam_front_lidar.ply,0.10002,799,0.0179,0.11495,0.15001,500,0.01326,0.01907,0.25,200,0.02889,0.08783,loose
Supermarket,000069_lcam_front_lidar.ply,0.10002,799,0.03253,0.09263,0.15001,500,0.00226,0.00418,0.25,200,0.00776,0.00389,strict
Supermarket,000070_lcam_front_lidar.ply,0.10002,799,0.08676,0.08414,0.15001,500,0.01386,0.01981,0.25,200,0.02789,0.0579,strict
Supermarket,000071_lcam_front_lidar.ply,0.10002,799,0.00741,0.10464,0.15001,500,0.00953,0.00829,0.25,200,0.01128,0.048,loose
Supermarket,000072_lcam_front_lidar.ply,0.10002,799,0.07493,0.09929,0.15001,500,0.00952,0.00888,0.25,200,0.01154,0.06121,strict
Supermarket,000073_lcam_front_lidar.ply,0.10002,799,0.01369,0.10395,0.15001,500,0.00953,0.01037,0.25,200,0.02895,0.13971,loose
Supermarket,000074_lcam_front_lidar.ply,0.10002,799,0.08178,0.1155,0.15001,500,0.00938,0.0119,0.25,200,0.02936,0.06093,strict
Supermarket,000075_lcam_front_lidar.ply,0.10002,799,0.08909,0.09399,0.15001,500,0.0088,0.00074,0.25,200,0.0065,0.00207,strict
Supermarket,000076_lcam_front_lidar.ply,0.10002,799,0.027,0.09936,0.15001,500,0.00962,0.01449,0.25,200,0.00864,0.00207,strict
Supermarket,000077_lcam_front_lidar.ply,0.10002,799,0.01749,0.1473,0.15001,500,0.02458,0.09734,0.25,200,0.00864,0.00204,standard
Supermarket,000078_lcam_front_lidar.ply,0.10002,799,0.02834,0.12955,0.15001,500,0.0098,0.00082,0.25,200,0.03127,0.06039,loose
Supermarket,000079_lcam_front_lidar.ply,0.10002,799,0.02874,0.12345,0.15001,500,0.00961,0.01807,0.25,200,0.03185,0.06793,loose
Supermarket,000080_lcam_front_lidar.ply,0.10002,799,0.04137,0.05217,0.15001,500,0.09171,0.12915,0.25,200,0.0359,0.0704,standard
Supermarket,000081_lcam_front_lidar.ply,0.10002,799,0.06088,0.10394,0.15001,500,0.01907,0.1763,0.25,200,0.03629,0.07424,strict
Supermarket,000082_lcam_front_lidar.ply,0.10002,799,0.02219,0.10506,0.15001,500,0.01705,0.08728,0.25,200,0.03257,0.06165,loose
Supermarket,000083_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.00493,0.00196,0.25,200,0.00744,0.10778,loose
Supermarket,000084_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.08357,0.16313,0.25,200,0.02688,0.07769,standard
Supermarket,000085_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.02005,0.06743,0.25,200,0.00829,0.00349,standard
Supermarket,000086_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01695,0.03339,0.25,200,0.02876,0.07423,loose
Supermarket,000087_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.0057,0.12853,0.25,200,0.02658,0.07783,loose
Supermarket,000088_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01613,0.03598,0.25,200,0.03503,0.06116,loose
Supermarket,000089_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01134,0.02678,0.25,200,0.02853,0.0743,loose
Supermarket,000090_lcam_front_lidar.ply,0.10002,799,0.02412,0.10014,0.15001,500,0.04111,0.1066,0.25,200,0.02831,0.06243,standard
Supermarket,000091_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.0,0.0,0.25,200,0.00596,0.00498,loose
Supermarket,000092_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.02778,0.11278,0.25,200,0.02806,0.05722,loose
Supermarket,000093_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.03021,0.13511,0.25,200,0.03281,0.04811,loose
Supermarket,000094_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01204,0.21227,0.25,200,0.03501,0.05398,loose
Supermarket,000095_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01399,0.03139,0.25,200,0.00408,0.0098,standard
Supermarket,000096_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01303,0.10851,0.25,200,0.0071,0.00114,standard
Supermarket,000097_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.02164,0.02918,0.25,200,0.00533,0.0065,standard
Supermarket,000098_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.0,0.0,0.25,200,0.0112,0.03246,loose
Supermarket,000099_lcam_front_lidar.ply,0.10002,799,0.00918,0.12924,0.15001,500,0.01329,0.03163,0.25,200,0.02866,0.04923,loose
Supermarket,000100_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01793,0.03364,0.25,200,0.00504,0.0133,standard
Supermarket,000101_lcam_front_lidar.ply,0.10002,799,0.04408,0.02489,0.15001,500,0.01761,0.02734,0.25,200,0.00515,0.02126,strict
Supermarket,000102_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.02026,0.02376,0.25,200,0.00838,0.00343,standard
Supermarket,000103_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.0151,0.02989,0.25,200,0.03166,0.03302,loose
Supermarket,000104_lcam_front_lidar.ply,0.10002,799,0.06133,0.02234,0.15001,500,0.01035,0.04136,0.25,200,0.03331,0.03403,strict
Supermarket,000105_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01755,0.03673,0.25,200,0.01332,0.04057,standard
Supermarket,000106_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01771,0.03632,0.25,200,0.01362,0.02125,standard
Supermarket,000107_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01747,0.03903,0.25,200,0.01362,0.04824,standard
Supermarket,000108_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01709,0.02934,0.25,200,0.02111,0.03023,loose
Supermarket,000109_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.02039,0.02778,0.25,200,0.04322,0.02777,loose
Supermarket,000110_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01709,0.03027,0.25,200,0.02014,0.01033,loose
Supermarket,000111_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.02036,0.01764,0.25,200,0.01448,0.00831,standard
Supermarket,000112_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01723,0.01338,0.25,200,0.03451,0.03022,loose
Supermarket,000113_lcam_front_lidar.ply,0.10002,799,0.01772,0.01025,0.15001,500,0.02105,0.00899,0.25,200,0.00904,0.02473,standard
Supermarket,000114_lcam_front_lidar.ply,0.10002,799,0.01781,0.00931,0.15001,500,0.0211,0.0082,0.25,200,0.02223,0.03761,loose
Supermarket,000115_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.02057,0.00831,0.25,200,0.00473,0.03012,standard
Supermarket,000116_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01562,0.00956,0.25,200,0.02822,0.02837,loose
Supermarket,000117_lcam_front_lidar.ply,0.10002,799,0.00928,0.11497,0.15001,500,0.01112,0.00429,0.25,200,0.03,0.02553,loose
Supermarket,000118_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01652,0.00827,0.25,200,0.0301,0.03099,loose
Supermarket,000119_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.0156,0.00839,0.25,200,0.01222,0.00133,standard
Supermarket,000120_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.04173,0.18167,0.25,200,0.02349,0.03253,standard
Supermarket,000121_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01116,0.0088,0.25,200,0.02728,0.0356,loose
Supermarket,000122_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01129,0.00655,0.25,200,0.00543,0.0034,standard
Supermarket,000123_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.02728,0.17785,0.25,200,0.01967,0.1535,standard
Supermarket,000124_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01142,0.01139,0.25,200,0.00886,0.00088,standard
Supermarket,000125_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01149,0.02444,0.25,200,0.00416,0.00824,standard
Supermarket,000126_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01166,0.02606,0.25,200,0.03329,0.07919,loose
Supermarket,000127_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01634,0.0366,0.25,200,0.02231,0.16071,loose
Supermarket,000128_lcam_front_lidar.ply,0.10002,799,0.07524,0.11831,0.15001,500,0.01617,0.03422,0.25,200,0.00831,0.12681,strict
Supermarket,000129_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.01184,0.04439,0.25,200,0.01045,0.00144,standard
Supermarket,000130_lcam_front_lidar.ply,0.10002,799,0.03301,0.13822,0.15001,500,0.01616,0.04087,0.25,200,0.00511,0.01468,strict
Supermarket,000131_lcam_front_lidar.ply,0.10002,799,0.04105,0.03841,0.15001,500,0.0155,0.00682,0.25,200,0.00321,0.00356,strict
Supermarket,000132_lcam_front_lidar.ply,0.10002,799,0.0089,0.14956,0.15001,500,0.00569,0.22504,0.25,200,0.01738,0.28706,loose
Supermarket,000133_lcam_front_lidar.ply,0.10002,799,0.04038,0.04207,0.15001,500,0.01163,0.00315,0.25,200,0.02806,0.0856,strict
Supermarket,000134_lcam_front_lidar.ply,0.10002,799,0.02838,0.11953,0.15001,500,0.01176,0.01123,0.25,200,0.00934,0.00279,strict
Supermarket,000135_lcam_front_lidar.ply,0.10002,799,0.0488,0.03968,0.15001,500,0.01175,0.02199,0.25,200,0.00439,0.00293,strict
Supermarket,000136_lcam_front_lidar.ply,0.10002,799,0.04098,0.13067,0.15001,500,0.01158,0.01939,0.25,200,0.00956,0.00342,strict
Supermarket,000137_lcam_front_lidar.ply,0.10002,799,0.04101,0.13026,0.15001,500,0.00998,0.02584,0.25,200,0.00827,0.00432,strict
Supermarket,000138_lcam_front_lidar.ply,0.10002,799,0.00906,0.1501,0.15001,500,0.01261,0.16364,0.25,200,0.00968,0.0052,standard
Supermarket,000139_lcam_front_lidar.ply,0.10002,799,0.00876,0.04674,0.15001,500,0.00852,0.07826,0.25,200,0.00938,0.00438,loose
Supermarket,000140_lcam_front_lidar.ply,0.10002,799,0.05354,0.13982,0.15001,500,0.11396,0.10855,0.25,200,0.00735,0.00534,standard
Supermarket,000141_lcam_front_lidar.ply,0.10002,799,0.09563,0.09072,0.15001,500,0.00646,0.17075,0.25,200,0.02103,0.0418,strict
Supermarket,000142_lcam_front_lidar.ply,0.10002,799,0.10072,0.09005,0.15001,500,0.01117,0.09017,0.25,200,0.01792,0.04176,strict
Supermarket,000143_lcam_front_lidar.ply,0.10002,799,0.04424,0.11327,0.15001,500,0.12379,0.1285,0.25,200,0.00384,0.01819,standard
Supermarket,000144_lcam_front_lidar.ply,0.10002,799,0.09769,0.09583,0.15001,500,0.00462,0.009,0.25,200,0.03136,0.18047,strict
Supermarket,000145_lcam_front_lidar.ply,0.10002,799,0.07201,0.12861,0.15001,500,0.00758,0.07796,0.25,200,0.01546,0.04207,strict
Supermarket,000146_lcam_front_lidar.ply,0.10002,799,0.08124,0.13422,0.15001,500,0.01065,0.12774,0.25,200,0.01407,0.0426,strict
Supermarket,000147_lcam_front_lidar.ply,0.10002,799,0.0868,0.12832,0.15001,500,0.03805,0.12308,0.25,200,0.01126,0.05398,strict
Supermarket,000148_lcam_front_lidar.ply,0.10002,799,0.0469,0.06534,0.15001,500,0.04042,0.05688,0.25,200,0.01376,0.04187,strict
Supermarket,000149_lcam_front_lidar.ply,0.10002,799,0.0129,0.15378,0.15001,500,0.01529,0.07708,0.25,200,0.01184,0.09983,standard
Supermarket,000150_lcam_front_lidar.ply,0.10002,799,0.09562,0.1241,0.15001,500,0.02969,0.0783,0.25,200,0.00636,0.0053,strict
Supermarket,000151_lcam_front_lidar.ply,0.10002,799,0.08249,0.09677,0.15001,500,0.0058,0.06558,0.25,200,0.00654,0.00547,strict
Supermarket,000152_lcam_front_lidar.ply,0.10002,799,0.01469,0.1468,0.15001,500,0.13965,0.16436,0.25,200,0.00608,0.00283,standard
Supermarket,000153_lcam_front_lidar.ply,0.10002,799,0.07645,0.105,0.15001,500,0.14831,0.16483,0.25,200,0.00643,0.00232,standard
Supermarket,000154_lcam_front_lidar.ply,0.10002,799,0.01227,0.16608,0.15001,500,0.14381,0.15834,0.25,200,0.00624,0.00228,standard
Supermarket,000155_lcam_front_lidar.ply,0.10002,799,0.00411,0.01586,0.15001,500,0.0143,0.15567,0.25,200,0.01625,0.04143,loose
Supermarket,000156_lcam_front_lidar.ply,0.10002,799,0.10764,0.10469,0.15001,500,0.0349,0.10671,0.25,200,0.00597,0.00134,strict
Supermarket,000157_lcam_front_lidar.ply,0.10002,799,0.00714,0.07981,0.15001,500,0.00929,0.11923,0.25,200,0.0057,0.00167,standard
Supermarket,000158_lcam_front_lidar.ply,0.10002,799,0.11286,0.10883,0.15001,500,0.01162,0.08425,0.25,200,0.00459,0.00195,strict
Supermarket,000159_lcam_front_lidar.ply,0.10002,799,0.10143,0.0986,0.15001,500,0.01216,0.08849,0.25,200,0.00725,0.00057,strict
Supermarket,000160_lcam_front_lidar.ply,0.10002,799,0.1066,0.1017,0.15001,500,0.00267,0.00555,0.25,200,0.00199,0.00586,strict
Supermarket,000161_lcam_front_lidar.ply,0.10002,799,0.00237,0.00373,0.15001,500,0.11152,0.11963,0.25,200,0.00382,0.00291,standard
Supermarket,000162_lcam_front_lidar.ply,0.10002,799,0.00172,0.00272,0.15001,500,0.1013,0.10614,0.25,200,0.01802,0.01845,standard
Supermarket,000163_lcam_front_lidar.ply,0.10002,799,0.00469,0.00053,0.15001,500,0.00136,0.00257,0.25,200,0.00405,0.00222,strict
Supermarket,000164_lcam_front_lidar.ply,0.10002,799,0.00208,0.00383,0.15001,500,0.00199,0.00583,0.25,200,0.01947,0.06578,loose
Supermarket,000165_lcam_front_lidar.ply,0.10002,799,0.01973,0.11913,0.15001,500,0.01399,0.16993,0.25,200,0.00258,0.00493,strict
Supermarket,000166_lcam_front_lidar.ply,0.10002,799,0.03789,0.11625,0.15001,500,0.00127,0.00285,0.25,200,0.00553,0.00127,strict
Supermarket,000167_lcam_front_lidar.ply,0.10002,799,0.02811,0.12431,0.15001,500,0.00908,0.18767,0.25,200,0.02227,0.07268,strict
Supermarket,000168_lcam_front_lidar.ply,0.10002,799,0.03498,0.1256,0.15001,500,0.01779,0.16806,0.25,200,0.02176,0.07336,strict
Supermarket,000169_lcam_front_lidar.ply,0.10002,799,0.0216,0.10756,0.15001,500,0.03743,0.18873,0.25,200,0.00516,0.00078,standard
Supermarket,000170_lcam_front_lidar.ply,0.10002,799,0.00711,0.13969,0.15001,500,0.00984,0.18521,0.25,200,0.00559,0.00204,standard
Supermarket,000171_lcam_front_lidar.ply,0.10002,799,0.00838,0.16577,0.15001,500,0.00617,0.00147,0.25,200,0.02083,0.08013,loose
Supermarket,000172_lcam_front_lidar.ply,0.10002,799,0.09231,0.10203,0.15001,500,0.03954,0.18121,0.25,200,0.00137,0.00292,strict
