frame_id,n_points,steps_used,reward,inlier_ratio,iou,precision,recall,f1
000017.ply,49117,1,0.5962792206275146,0.487733371337826,0.8130428540664705,0.9456086157956253,0.8529312097594036,0.896882114223498
000018.ply,49145,1,0.5973389125051121,0.489144368704853,0.8172590653132958,0.9478763675693664,0.8557157878924441,0.8994414510430851
000019.ply,49135,1,0.5982887349678261,0.4902818764628066,0.8162833255588647,0.9443337484433375,0.8575467430639324,0.8988502113872535
000000.ply,48991,1,0.15333796607940609,0.018289073503296525,0.03457323661058805,1.0,0.03457323661058805,0.06683574518872147
000001.ply,49164,1,0.15358366905575155,0.018428118135220894,0.03482204627565531,1.0,0.03482204627565531,0.06730054969543901
000002.ply,49110,1,0.15303680009443696,0.018061494603950314,0.03415479399306893,1.0,0.03415479399306893,0.06605354283799383
000003.ply,49045,1,0.153625903281712,0.018533999388316853,0.03503025164746233,1.0,0.03503025164746233,0.06768932906396605
000004.ply,49107,1,0.15350049916982306,0.018551326694768566,0.03527862758006428,1.0,0.03527862758006428,0.06815291389242163
000005.ply,49159,1,0.1530199538146097,0.01810451799263614,0.03857322411476618,1.0,0.03857322411476618,0.07428118349121562
000006.ply,49077,1,0.15343723222863975,0.018399657680787333,0.03472676229665808,1.0,0.03472676229665808,0.06712257489035904
000007.ply,49053,1,0.15294445087771513,0.017939779422257558,0.03804582792909641,1.0,0.03804582792909641,0.07330279050395667
000008.ply,49097,1,0.4995900289952516,0.3971118398272807,0.6607247223845705,0.927732471662307,0.696576423922671,0.7957064930494457
000009.ply,49040,1,0.1540667498359913,0.019066068515497553,0.03612130577554568,1.0,0.03612130577554568,0.06972408650261
000010.ply,49139,1,0.15378508853287595,0.018539245812898106,0.03511003198828381,1.0,0.03511003198828381,0.06783826048104848
000011.ply,49292,1,0.15329609183329748,0.01809624279801996,0.038229117558822266,1.0,0.038229117558822266,0.07364293085655314
000012.ply,49117,1,0.14037180487436396,0.002219190911497038,0.004194727727535116,1.0,0.004194727727535116,0.008354410975703226
000013.ply,49074,1,0.5230814120423541,0.41891836817866895,0.7066975444787531,0.9351590621655803,0.7431100459974489,0.8281462017273687
000014.ply,49251,1,0.518674870017263,0.41404235446996,0.6956744118076866,0.9337975676735975,0.7317654292521713,0.8205282888783557
000015.ply,49296,1,0.15365000454834785,0.01852077247646868,0.035064137030493894,1.0,0.035064137030493894,0.06775258803012876
000016.ply,49167,1,0.1536131644340959,0.018447332560457216,0.0349020664178243,1.0,0.0349020664178243,0.06744998884509557
000017.ply,49235,1,0.49818716094082083,0.39427236721844217,0.6595915390226113,0.9316917370698538,0.6931095270943511,0.7948841910956796
000018.ply,49402,1,0.15407874912162825,0.018804906683939922,0.03535276657279854,1.0,0.03535276657279854,0.06829124857573418
000019.ply,49179,1,0.15323803798987556,0.01830049411334106,0.03444844216489321,1.0,0.03444844216489321,0.06660253089617406
000000.ply,53444,1,0.17934704792763978,0.04305441209490308,0.08195903829029386,1.0,0.08195903829029386,0.151501185146168
000001.ply,53465,1,0.140856415988894,0.001739455718694473,0.003314090228779132,1.0,0.003314090228779132,0.00660628662759723
000002.ply,53384,1,0.17789702666734714,0.04171661921174884,0.08002155946819979,1.0,0.08002155946819979,0.14818511494826497
000003.ply,53429,1,0.17524659819968846,0.03900503471897284,0.07488321954725116,1.0,0.07488321954725116,0.13933275389449756
000004.ply,53562,1,0.1757187199424012,0.03935626003509951,0.07548521091455991,1.0,0.07548521091455991,0.1403742425251382
000005.ply,53312,1,0.17684128259951334,0.040516206482593034,0.07789397764154346,1.0,0.07789397764154346,0.1445299431247909
000006.ply,53445,1,0.1767078903888799,0.04052764524277294,0.07785765636232926,1.0,0.07785765636232926,0.14446741812845995
000007.ply,53479,1,0.1767239818894356,0.040539277099422205,0.07795196318136056,1.0,0.07795196318136056,0.14462975316877918
000008.ply,53311,1,0.17780255080088145,0.04166119562566825,0.08025003613238907,1.0,0.08025003613238907,0.14857678027895777
000009.ply,53284,1,0.17745407598713414,0.04130695893701674,0.07968863142650254,1.0,0.07968863142650254,0.14761409744810702
000010.ply,53404,1,0.17763726524463772,0.041513744288817316,0.08005344117859464,1.0,0.08005344117859464,0.14823977800809066
000011.ply,53422,1,0.17797535006268694,0.041686945453184084,0.08045810903573106,1.0,0.08045810903573106,0.14893332441650506
000012.ply,53298,1,0.1809516446703529,0.04480468310255544,0.08634342119535741,1.0,0.08634342119535741,0.15896155766350475
000013.ply,53475,1,0.18093572195855995,0.044731182795698925,0.08604626065685816,1.0,0.08604626065685816,0.15845781855519858
000014.ply,53454,1,0.1764196665435126,0.04005312979384144,0.07713091721305569,1.0,0.07713091721305569,0.14321549215692833
000015.ply,53449,1,0.17630078009861663,0.03986978240939962,0.07666294923912652,1.0,0.07666294923912652,0.14240844693932103
000016.ply,53351,1,0.17474642402357218,0.038331052838747166,0.07357173694056698,1.0,0.07357173694056698,0.13705975000837772
000017.ply,53400,1,0.1741103626651645,0.03750936329588015,0.07175867875183606,1.0,0.07175867875183606,0.1339082765075545
000018.ply,53575,1,0.17349202199275543,0.03690153989734018,0.07039094210638752,1.0,0.07039094210638752,0.1315238000199581
000019.ply,53598,1,0.1711082598366972,0.03434829657823053,0.06530684639943242,1.0,0.06530684639943242,0.12260663980553428
000000.ply,47726,1,0.4238411695774217,0.33669278799815616,0.6333672972134852,0.8897255585288444,0.6873227248689967,0.775535665852997
000001.ply,47627,1,0.422490618457764,0.33420118840153695,0.561402203036618,0.9477916692844129,0.5793172305211013,0.7191000524333857
000002.ply,47728,1,0.42206760344988536,0.3344787127053302,0.5676880643820607,0.9411801553495365,0.5885694139768097,0.7242359973006843
000003.ply,47815,1,0.42703314153161376,0.34269580675520234,0.5751953865998938,0.9252410594409862,0.6032308120797358,0.7303162407572438
000004.ply,47725,1,0.42789840033245297,0.342420115243583,0.5830233999690067,0.9208787174152491,0.6137689139035034,0.7365947969946892
000005.ply,47623,1,0.42362408844015187,0.33735799928605925,0.575138490551212,0.9111788870907507,0.6092982602180971,0.7302703781303004
000006.ply,47797,1,0.4529766054479415,0.3700859886603762,0.6146406146406146,0.8909491774549155,0.664642375168691,0.7613342672882296
000007.ply,47697,1,0.4260187611365333,0.3367717047193744,0.5909348901321657,0.9074270061632322,0.628845075283662,0.7428775291779216
000008.ply,47660,1,0.4600695176300017,0.38159882501049097,0.6180442789813458,0.8580304613185242,0.6884457581506155,0.763939883487541
000009.ply,47795,1,0.4267112845972899,0.339366042473062,0.6012884455527847,0.8919235511713933,0.6485408167839691,0.751005788148571
000010.ply,47898,1,0.43081525030552664,0.3488454632761284,0.5911052653212215,0.8606738883236579,0.6536521067224217,0.7430121415654869
000011.ply,47770,1,0.426671523389614,0.34287209545740005,0.5817327853728088,0.8469381525123634,0.6500773232110221,0.7355639217349806
000012.ply,47645,1,0.43352574008444017,0.35038304124252284,0.5934126646833829,0.8364082904037379,0.6713303524207894,0.7448323687088256
000013.ply,47765,1,0.4322254200702037,0.3468857950382079,0.5957185768075475,0.8498400627678194,0.66579980140905,0.7466461636353995
000014.ply,47597,1,0.42620512220157447,0.3397062840094964,0.5929944468175993,0.8585564970004329,0.6571983146333381,0.7445028424326934
000015.ply,47588,1,0.4310736488070508,0.34708329831049844,0.5899489860449428,0.8471877459587092,0.660202878037273,0.742098005939754
000016.ply,47674,1,0.42952851095116196,0.3440659478961279,0.5967913528235244,0.8549655550813875,0.6640151515151516,0.7474882072328971
000017.ply,47830,1,0.43789911735021275,0.3582688689107255,0.6003000875255283,0.8405112044817927,0.6774694261523989,0.7502343994166059
000018.ply,47618,1,0.42678176419750324,0.3380654374396237,0.5987617421007686,0.8711020002484781,0.6569688451628016,0.7490318617632135
000019.ply,47554,1,0.43085019279423803,0.34447154813475206,0.598768296283798,0.8665527135095538,0.6595883090934436,0.7490369901324468
000000.ply,42552,1,0.11857605718465651,0.016356457980823462,0.024535729908140135,0.8864942528735632,0.024613052497207594,0.04789628939605651
000001.ply,42653,1,0.5684155535566444,0.4609523362952196,0.7389587768531063,0.9710085956970652,0.7556303186226004,0.8498864799893158
000002.ply,42847,1,0.1237545339151145,0.013699908978458235,0.021494410668758582,0.9335604770017035,0.021527341294783155,0.04208424528664132
000003.ply,43236,1,0.12864389124341857,0.012628365251179573,0.020643902439024392,0.9688644688644689,0.020657606997813185,0.04045270321939284
000004.ply,43764,1,0.1253301812912601,0.013047253450324467,0.02104250817464897,0.957968476357268,0.021061953717608103,0.04121769271343531
000005.ply,43978,1,0.12975390388949845,0.011915048433307563,0.019402361696472643,0.9751908396946565,0.019411943473636225,0.03806615017878427
000006.ply,43959,1,0.5758940611927108,0.46843649764553336,0.7416001485056618,0.9700369075369075,0.7589862451554069,0.8516307823491792
000007.ply,43618,1,0.12750707173340994,0.012953367875647668,0.02067124332570557,0.95929203539823,0.02068939191510478,0.04050519393169419
000008.ply,43563,1,0.11839520674274955,0.01379611137892248,0.02115216648312004,0.9267886855241264,0.0211875689451862,0.0414280401636296
000009.ply,43504,1,0.12447907672597215,0.012458624494299375,0.019795584938637485,0.9612546125461254,0.0198113925013309,0.03882265275707899
000010.ply,43559,1,0.12459869417195084,0.0136366766913841,0.021079065520127845,0.9326599326599326,0.021111195793003582,0.04128782232821583
000011.ply,43703,1,0.12535248728140147,0.013317163581447498,0.020886243887646413,0.9467353951890034,0.02091081593927894,0.04091786722114957
000012.ply,43819,1,0.12654058844646615,0.012734202058467788,0.02021619571401479,0.9551971326164874,0.02023538344722855,0.03963119934567626
000013.ply,43568,1,0.12304791664129565,0.013381380829966948,0.020861244019138758,0.934819897084048,0.020891631847280254,0.04086989126359205
000014.ply,43351,1,0.12136729238769244,0.014001983806601923,0.021471921333640624,0.9209225700164745,0.021511583160163165,0.042041138645508215
000015.ply,43214,1,0.12236260460939834,0.014277780348960985,0.021911044246422096,0.9205834683954619,0.02195253922856922,0.042882488392284174
000016.ply,43176,1,0.12457370468312205,0.013919770242727442,0.022174148188209845,0.9550748752079867,0.022197300746355234,0.04338624338624339
000017.ply,42971,1,0.1287914409956686,0.012613157711014405,0.020591669910471,0.9760147601476015,0.02060209526034973,0.04035241618673481
000018.ply,42809,1,0.5801108968404058,0.4724941017075849,0.7488359667200977,0.9700400454837593,0.7665650882950461,0.8563821661610982
000019.ply,42873,1,0.12790760293745898,0.013481678445641779,0.021540978497974445,0.9567474048442907,0.021561976059578117,0.04217349857006673
